Iteration,Error
1,3.226669794969022

2,1.1760822022527186

3,0.39764744933623336

4,0.4618714434162701

5,0.30525181532844275

6,0.18903360314954315

7,0.1390953082874478

8,0.11150658271818144

9,0.09067100837312891

10,0.08685056833001267

11,0.07975579531232356

12,0.06636847708956377

13,0.060701364643256345

14,0.054296826822184174

15,0.048365159792337666

16,0.04573669310716081

17,0.04343166884157875

18,0.03883908576905979

19,0.03592423969251969

20,0.034695725812383615

21,0.03177685740870044

22,0.030423620018236036

23,0.02881693764939482

24,0.027918796833870173

25,0.026487417491462995

26,0.025073119066218792

27,0.023772665934875665

28,0.02392854063464335

29,0.022795797030446777

30,0.021954176668285214

31,0.021594691938305356

32,0.020664017458548435

33,0.020141993219974563

34,0.019075216236841785

35,0.01817642370697862

36,0.017351663193767502

37,0.016849754964821252

38,0.01634110131099484

39,0.016096235124854114

40,0.015545672484768363

41,0.015107088807447482

42,0.014618618986330757

43,0.014108451413462685

44,0.014177387524997555

45,0.01334080698699325

46,0.012802275283318542

47,0.012442399535809206

48,0.012163964768339117

49,0.011775970188108486

50,0.011279463118460313

51,0.010755837299176828

52,0.010318271599300051

53,0.009849360569587517
