Iteration,Error
1,1.371390149658392
2,1.371390149658392
3,1.371390149658392
4,1.371390149658392
5,1.371390149658392
6,1.371390149658392
7,1.371390149658392
8,1.371390149658392
9,1.371390149658392
10,1.371390149658392
11,1.371390149658392
12,1.371390149658392
13,1.371390149658392
14,1.371390149658392
15,1.371390149658392
16,1.371390149658392
17,1.371390149658392
18,1.371390149658392
19,1.371390149658392
20,1.371390149658392
21,1.371390149658392
22,1.371390149658392
23,1.371390149658392
24,1.371390149658392
25,1.371390149658392
26,1.371390149658392
27,1.371390149658392
28,1.371390149658392
29,1.371390149658392
30,1.371390149658392
31,1.371390149658392
32,1.371390149658392
33,1.371390149658392
34,1.371390149658392
35,1.371390149658392
36,1.371390149658392
37,1.371390149658392
38,1.371390149658392
39,1.371390149658392
40,1.371390149658392
41,1.371390149658392
42,1.371390149658392
43,1.371390149658392
44,1.371390149658392
45,1.371390149658392
46,1.371390149658392
47,1.371390149658392
48,1.371390149658392
49,1.371390149658392
50,1.371390149658392
51,1.371390149658392
52,1.371390149658392
53,1.371390149658392
54,1.371390149658392
55,1.371390149658392
56,1.371390149658392
57,1.371390149658392
58,1.371390149658392
59,1.371390149658392
60,1.371390149658392
61,1.371390149658392
62,1.371390149658392
63,1.371390149658392
64,1.371390149658392
65,1.371390149658392
66,1.371390149658392
67,1.371390149658392
68,1.371390149658392
69,1.371390149658392
70,1.371390149658392
71,1.371390149658392
72,1.371390149658392
73,1.371390149658392
74,1.371390149658392
75,1.371390149658392
76,1.371390149658392
77,1.371390149658392
78,1.371390149658392
79,1.371390149658392
80,1.371390149658392
81,1.371390149658392
82,1.371390149658392
83,1.371390149658392
84,1.371390149658392
85,1.371390149658392
86,1.371390149658392
87,1.371390149658392
88,1.371390149658392
89,1.371390149658392
90,1.371390149658392
91,1.371390149658392
92,1.371390149658392
93,1.371390149658392
94,1.371390149658392
95,1.371390149658392
96,1.371390149658392
97,1.371390149658392
98,1.371390149658392
99,1.371390149658392
100,1.371390149658392
101,1.371390149658392
102,1.371390149658392
103,1.371390149658392
104,1.371390149658392
105,1.371390149658392
106,1.371390149658392
107,1.371390149658392
108,1.371390149658392
109,1.371390149658392
110,1.371390149658392
111,1.371390149658392
112,1.371390149658392
113,1.371390149658392
114,1.371390149658392
115,1.371390149658392
116,1.371390149658392
117,1.371390149658392
118,1.371390149658392
119,1.371390149658392
120,1.371390149658392
121,1.371390149658392
122,1.371390149658392
123,1.371390149658392
124,1.371390149658392
125,1.371390149658392
126,1.371390149658392
127,1.371390149658392
128,1.371390149658392
129,1.371390149658392
130,1.371390149658392
131,1.371390149658392
132,1.371390149658392
133,1.371390149658392
134,1.371390149658392
135,1.371390149658392
136,1.371390149658392
137,1.371390149658392
138,1.371390149658392
139,1.371390149658392
140,1.371390149658392
141,1.371390149658392
142,1.371390149658392
143,1.371390149658392
144,1.371390149658392
145,1.371390149658392
146,1.371390149658392
147,1.371390149658392
148,1.371390149658392
149,1.371390149658392
150,1.371390149658392
151,1.371390149658392
152,1.371390149658392
153,1.371390149658392
154,1.371390149658392
155,1.371390149658392
156,1.371390149658392
157,1.371390149658392
158,1.371390149658392
159,1.371390149658392
160,1.371390149658392
161,1.371390149658392
162,1.371390149658392
163,1.371390149658392
164,1.371390149658392
165,1.371390149658392
166,1.371390149658392
167,1.371390149658392
168,1.371390149658392
169,1.371390149658392
170,1.371390149658392
171,1.371390149658392
172,1.371390149658392
173,1.371390149658392
174,1.371390149658392
175,1.371390149658392
176,1.371390149658392
177,1.371390149658392
178,1.371390149658392
179,1.371390149658392
180,1.371390149658392
181,1.371390149658392
182,1.371390149658392
183,1.371390149658392
184,1.371390149658392
185,1.371390149658392
186,1.371390149658392
187,1.371390149658392
188,1.371390149658392
189,1.371390149658392
190,1.371390149658392
191,1.371390149658392
192,1.371390149658392
193,1.371390149658392
194,1.371390149658392
195,1.371390149658392
196,1.371390149658392
197,1.371390149658392
198,1.371390149658392
199,1.371390149658392
200,1.371390149658392
201,1.371390149658392
202,1.371390149658392
203,1.371390149658392
204,1.371390149658392
205,1.371390149658392
206,1.371390149658392
207,1.371390149658392
208,1.371390149658392
209,1.371390149658392
210,1.371390149658392
211,1.371390149658392
212,1.371390149658392
213,1.371390149658392
214,1.371390149658392
215,1.371390149658392
216,1.371390149658392
217,1.371390149658392
218,1.371390149658392
219,1.371390149658392
220,1.371390149658392
221,1.371390149658392
222,1.371390149658392
223,1.371390149658392
224,1.371390149658392
225,1.371390149658392
226,1.371390149658392
227,1.371390149658392
228,1.371390149658392
229,1.371390149658392
230,1.371390149658392
231,1.371390149658392
232,1.371390149658392
233,1.371390149658392
234,1.371390149658392
235,1.371390149658392
236,1.371390149658392
237,1.371390149658392
238,1.371390149658392
239,1.371390149658392
240,1.371390149658392
241,1.371390149658392
242,1.371390149658392
243,1.371390149658392
244,1.371390149658392
245,1.371390149658392
246,1.371390149658392
247,1.371390149658392
248,1.371390149658392
249,1.371390149658392
250,1.371390149658392
251,1.371390149658392
252,1.371390149658392
253,1.371390149658392
254,1.371390149658392
255,1.371390149658392
256,1.371390149658392
257,1.371390149658392
258,1.371390149658392
259,1.371390149658392
260,1.371390149658392
261,1.371390149658392
262,1.371390149658392
263,1.371390149658392
264,1.371390149658392
265,1.371390149658392
266,1.371390149658392
267,1.371390149658392
268,1.371390149658392
269,1.371390149658392
270,1.371390149658392
271,1.371390149658392
272,1.371390149658392
273,1.371390149658392
274,1.371390149658392
